id_client,churn,score_churn,risque_ml
73202604,0,0.0088,Faible
73202665,0,0.2102,Faible
73202672,0,0.0053,Faible
73202682,0,0.0093,Faible
73202695,0,0.0314,Faible
73202704,1,0.5682,Moyen
73202710,0,0.0064,Faible
73202711,1,0.3468,Moyen
73202741,1,0.9977,Haut
73202742,0,0.0185,Faible
73202743,0,0.0116,Faible
73202757,0,0.1763,Faible
73202771,0,0.0178,Faible
73202778,0,0.3902,Moyen
73202818,0,0.0314,Faible
73202822,0,0.0067,Faible
73202848,1,0.6168,Haut
73202863,0,0.348,Moyen
73202867,1,0.4155,Moyen
73202875,0,0.1955,Faible
73202918,1,0.9978,Haut
73202930,1,0.2973,Faible
73202931,1,0.5725,Moyen
73202960,0,0.0182,Faible
73202963,1,0.9978,Haut
73202973,0,0.2183,Faible
73202983,0,0.3229,Moyen
73202984,0,0.3988,Moyen
73202989,1,0.9978,Haut
73203009,0,0.3154,Moyen
73203036,0,0.0187,Faible
73203079,1,0.2694,Faible
73203090,1,0.3466,Moyen
73203117,1,0.9978,Haut
73203139,0,0.402,Moyen
73203165,0,0.0084,Faible
73203169,0,0.0068,Faible
73203196,0,0.3192,Moyen
73203220,0,0.0047,Faible
73203228,1,0.2305,Faible
73203232,0,0.0135,Faible
73203253,0,0.6642,Haut
73203284,1,0.9973,Haut
73203291,0,0.2511,Faible
73203314,1,0.9978,Haut
73203364,1,0.9978,Haut
73203384,0,0.0738,Faible
73203392,0,0.0157,Faible
73203422,1,0.2321,Faible
73203445,0,0.0226,Faible
73203449,0,0.4684,Moyen
73203458,1,0.9978,Haut
73203511,1,0.446,Moyen
73203529,0,0.0093,Faible
73203543,0,0.0279,Faible
73203554,0,0.0097,Faible
73203564,0,0.0279,Faible
73203592,1,0.998,Haut
73203598,0,0.223,Faible
73203602,0,0.0145,Faible
73203606,0,0.0192,Faible
73203609,0,0.2173,Faible
73203630,0,0.0099,Faible
73203672,1,0.9973,Haut
73203676,1,0.6207,Haut
73203715,0,0.0099,Faible
73203738,1,0.9978,Haut
73203784,0,0.1459,Faible
73203857,0,0.0066,Faible
73203865,0,0.4177,Moyen
73203872,0,0.4146,Moyen
73203900,0,0.0103,Faible
73203946,1,0.9973,Haut
73203963,0,0.4186,Moyen
73204045,1,0.998,Haut
73204058,1,0.3702,Moyen
